Samples	N0	N1	N2	N3	N4	N5	N6	N7	N8
PD44890_19_branch_snp	6.5178947368421e-05	0.144787705263158	0.760068294736842	0.000881515789473684	0.0544787368421053	4.48e-05	0.0384847157894737	0.00118871578947368	3.36842105263158e-07
PD44890_1_branch_snp	0.000228042105263158	0.0602028631578947	0.896988968421053	0.000334736842105263	0.000497936842105263	4.69894736842105e-05	0.00158223157894737	0.0401182315789474	0
PD44890_20_branch_snp	0.000144252631578947	0.197787957894737	0.677754863157895	0.000303831578947368	0.117079494736842	3.04842105263158e-05	0.00656581052631579	0.000328757894736842	4.54736842105263e-06
PD44890_21_branch_snp	0.000139621052631579	0.218985936842105	0.691138526315789	0.000202863157894737	0.0848309894736842	9.94526315789474e-05	0.00364673684210526	0.000955873684210526	0
PD44890_22_branch_snp	0.000263663157894737	0.0102876631578947	0.972991915789474	0.00130349473684211	0.000377936842105263	0.000468884210526316	0.00473061052631579	0.00957583157894737	0
PD44890_23_branch_snp	3.47789473684211e-05	0.0105050947368421	0.961764378947368	0.000129936842105263	0.000327157894736842	1.41473684210526e-05	0.000730357894736842	0.0264939789473684	1.68421052631579e-07
PD44890_24_branch_snp	0.000105347368421053	0.0137310315789474	0.980730105263158	0.00231949473684211	0.000855915789473684	6.5178947368421e-05	0.00177263157894737	0.000420126315789474	1.68421052631579e-07
PD44890_25_branch_snp	0.000731115789473684	0.0236378947368421	0.971636126315789	0.00119410526315789	0.000882778947368421	0.000127326315789474	0.00149667368421053	0.000293894736842105	8.42105263157895e-08
PD44890_26_branch_snp	8.92631578947368e-05	0.0330971789473684	0.937073684210526	8.64e-05	0.000895242105263158	2.97263157894737e-05	0.000555368421052632	0.0281728842105263	2.52631578947368e-07
PD44890_27_branch_snp	7.98315789473684e-05	0.00532235789473684	0.968910905263158	0.000128757894736842	0.000254652631578947	2.92210526315789e-05	0.000623494736842105	0.0246507789473684	0
PD44890_28_branch_snp	4.36210526315789e-05	0.0225973052631579	0.951000757894737	0.00246307368421053	0.000256421052631579	0.000117305263157895	0.00624589473684211	0.0172754526315789	1.68421052631579e-07
PD44890_29_branch_snp	0.00170661052631579	0.003816	0.946717389473684	0.00126492631578947	0.00278972631578947	0.00220597894736842	0.00780429473684211	0.0336949894736842	8.42105263157895e-08
PD44890_2_branch_snp	0.000242442105263158	0.00588656842105263	0.968835284210526	0.00137541052631579	0.00122602105263158	5.41473684210526e-05	0.0194891789473684	0.00289094736842105	0
